Sales+Ops Demand Supply — Append1 (auto-computed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Group,Item Code,Product Class,Original Forecast,Ops+Sales-Reviewed Forecast Committed,Ops Adjustment (vs Forecast),Actual Sales Demand,"Additional Demand (Punched, Not Committed)",Forecast Accuracy %,Opening Inventory,Actual Production,Stock Adjustment (Added),Stock Adjustment (Deducted),Total Available Inventory,Type (MTS/MTO),Actual Dispatch,Dispatch %,Closing Inventory,Green Level,Free Inventory (Above Green Level),Uncovered Shortfall,Dispatch Gap (Shippable from Stock),Shortfall on Additional Demand (Excluded from Ops),Demand Reduction Adjustment (Sales Pullback),Production-Driven Shortfall,Production Surplus,Excess Opening Stock (Above Demand+Safety),Excess Dispatched,Sales Insight Tag,Sales Narrative,Operations Insight Tag,Operations Narrative,Ops Capacity Gap Narrative,Surplus Production (₹),Excess Opening Stock Value (₹),Build Required,Production Counted,Production-Driven Shortfall (₹),Dispatch Gap (Shippable from Stock) (₹),Shortfall on Additional Demand (₹),Demand Reduction Adjustment (₹),Excess Dispatch Value (₹),Excess Dispatched from Op Stock,Excess Dispatch from Surplus Production,Excess Dispatch from Op Stock Value (₹),Excess Dispatch from Surplus Production Value (₹)
9mm 2 Way Serrated,FD M01 B15 J1X OEM,Regular,2300.0,2300.0,,2300.0,,100%,2126.0,1200.0,1200.0,1200.0,3326.0,MTO,4000.0,173.9%,-674.0,,,,,,,,1026.0,,1700.0,Over-Delivered | Forecast Bullseye,"Dispatch 174% of committed (4,000 vs 2,300). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 1,700 units.",Over-Production,"Produced 1,200 units against committed 2,300 units. Red flag — produced 1,026 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,2870.86,,174.0,174.0,,,,,32963.0,,1700.0,,32963.0
9mm 2 Way Serrated,FD M01 B15 J2X MH,Regular,,,,,,,300.0,5500.0,5500.0,5500.0,5800.0,MTO,5000.0,,800.0,,800.0,,,,,,5500.0,300.0,5000.0,Forecast Bullseye,"Dispatch 5,000 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 5,000 units.",Over-Production,"Produced 5,500 units against committed 0 units. Red flag — produced 5,500 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,36875.41,2011.39,,,,,,,96950.0,300.0,4700.0,5817.0,91133.0
,FD M01 B15 J2X OEM,Regular,,,,,,,10.0,,,,10.0,TBC,,,10.0,,10.0,,,,,,,10.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,62.47,,,,,,,,,,,
9mm 2 Way Serrated,FD M01 B15 J4X MH,Regular,1500.0,1500.0,,1500.0,,100%,1170.0,,,,1170.0,MTO,1150.0,76.7%,20.0,,20.0,350.0,20.0,,,330.0,,,,Short Delivery | Forecast Bullseye,"Dispatch 77% of committed (1,150 vs 1,500). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 350 units.",Production Shortfall,"Produced 0 units against committed 1,500 units. Shortfall of 330 units — expedite production or procure.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,330.0,,6398.7,387.8,,,,,,,
9mm 2 Way Serrated,FD M01 B15 J4X OEM,Regular,1700.0,1700.0,,2000.0,300.0,82%,,2250.0,250.0,250.0,2250.0,MTO,2000.0,100.0%,250.0,,250.0,,,,,,550.0,,,On Target | Forecast Drift (Moderate),"Dispatch 100% of committed (2,000 vs 2,000). MTO item — demand is order-driven. ⚠ Forecast raised by 18% post-commit — late orders pulled in. No open commitment gap.",Over-Production,"Produced 2,250 units against committed 2,000 units. Red flag — produced 550 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,1700.0,1700.0,,,,,,,,,
12mm 2Way Serrated,FD M01 B15 J65A OEM,Regular,,,,,,,250.0,2200.0,200.0,200.0,2450.0,MTO,2000.0,,450.0,,450.0,,,,,,2200.0,250.0,2000.0,Forecast Bullseye,"Dispatch 2,000 units (no committed demand). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: review over-commit of 2,000 units.",Over-Production,"Produced 2,200 units against committed 0 units. Red flag — produced 2,200 units more than ordered. Investigate planning breakdown.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,14005.93,1591.58,,,,,,,31720.0,250.0,1750.0,3965.0,27755.0
12mm 2Way Serrated,FD M09 B15 J0 SDF,Regular,2100.0,2100.0,,2100.0,,100%,195.0,,,,195.0,MTO,,0.0%,195.0,,195.0,2100.0,195.0,,,1905.0,,,,Short Delivery | Forecast Bullseye,"Dispatch 0% of committed (0 vs 2,100). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 2,100 units.",Production Shortfall,"Produced 0 units against committed 2,100 units. Shortfall of 1,905 units — expedite production or procure.",Ops accepted Sales forecast in full. No capacity gap at plan stage.,,,1905.0,,30213.3,3092.7,,,,,,,
FD SS430-1-9,FD M09 B15 J00 FL,Regular,500.0,500.0,,500.0,,100%,1952.0,,,,1952.0,MTO,,0.0%,1952.0,,1952.0,500.0,500.0,,,,,1452.0,,Short Delivery | Forecast Bullseye,Dispatch 0% of committed (0 vs 500). MTO item — demand is order-driven. Forecast hit dead-on (0% variance) — strong demand sensing. Action: recover shortfall of 500 units.,Healthy Stock,Produced 0 units against committed 500 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,5054.35,,,,,,,,,,,
,FD M09 B15 J00 SRB,Regular,,,,,,,1905.0,,,,1905.0,TBC,,,1905.0,,1905.0,,,,,,,1905.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,7068.94,,,,,,,,,,,
,FD M09 B15 J00M OEM,Regular,,,,,,,233.0,,,,233.0,TBC,,,233.0,,233.0,,,,,,,233.0,,Forecast Bullseye,Dispatch 0 units (no committed demand). Forecast hit dead-on (0% variance) — strong demand sensing. No open commitment gap.,Healthy Stock,Produced 0 units against committed 0 units.,Ops accepted Sales forecast in full. No capacity gap at plan stage.,,678.55,,,,,,,,,,,
